prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
348,600,86,4.0,-0.10850829078232906,0.47289951229420163,0
506,930,98,5.0,-0.15181353301304537,0.46211934287540773,0
331,743,0,0.0,-0.05909360488709031,0.48523089640388595,1
448,663,55,3.0,-0.10460467399329332,0.47387265124561534,0
430,821,81,2.0,-0.16677160666690796,0.4584034632441668,0
287,545,90,3.0,-0.14849305234832855,0.4629448014065541,0
436,889,113,2.0,-0.2395470685663322,0.440397971581604,0
330,449,52,3.0,-0.13727534559854238,0.4657349557353044,0
372,763,0,0.0,-0.0875632584911043,0.47812316165904806,1
288,714,0,0.0,-0.10798083585065399,0.47303099052134057,1
580,693,0,0.0,-0.3774697105895441,0.4067373167696657,1
259,578,103,2.3333333333333335,-0.12768085393892506,0.46812308061212443,1
376,696,81,4.0,-0.14290542714136942,0.4643343194938703,0
217,641,0,0.0,-0.26113953946489943,0.4350836048174425,1
210,336,54,2.0,-0.11231230397314107,0.47195140168698824,0
219,617,0,0.0,-0.30453237577214054,0.4244498818615078,1
262,411,0,0.0,-0.24396883496189048,0.4393085267677411,1
533,840,85,5.0,-0.12803035239213045,0.46803606210783183,0
295,551,71,3.0,-0.11763310159975365,0.4706255892721886,0
383,654,51,3.0,-0.2706076375889377,0.4327579269782328,0
451,996,0,0.0,-0.19355834157983054,0.451760926379336,1
350,755,88,3.0,-0.310661731657675,0.4229532258998438,0
269,405,55,3.0,-0.1278977500911346,0.4680690773440814,0
133,655,0,0.0,-0.22316124815188232,0.44444007485919174,1
172,320,0,0.0,-0.10149228154729828,0.4746486871983354,1
449,549,31,1.0,-0.35470318877988294,0.41224237658671664,0
285,757,98,5.0,-0.20424471659125512,0.4491155887571982,0
179,371,0,0.0,-0.23482297253311657,0.44156253943925455,1
213,310,37,1.0,-0.12893616403740374,0.4678105412032217,0
312,437,53,3.0,-0.11380297510586287,0.4715799222511693,0
230,271,0,0.0,-0.12762068008515826,0.4681380629593613,1
309,733,0,0.0,-0.26868222602517733,0.4332306351826136,1
759,1153,0,0.0,-0.34882079578381475,0.4136684042104191,1
426,694,0,0.0,-0.11451556851610323,0.47140235306452855,1
149,426,50,1.0,-0.17884583055648628,0.4554073401517859,0
185,575,0,0.0,-0.2556231240339457,0.4364399440106786,1
228,618,0,0.0,-0.14555398713876855,0.4636756111792334,1
345,767,92,3.0,-0.21354533711027557,0.4468156200654397,0
567,987,0,0.0,-0.15694110429230435,0.460845058137811,1
260,752,0,0.0,-0.12088944311736771,0.46981439195698016,1
484,735,0,0.0,-0.13216112589678064,0.46700772635474186,1
647,1155,39,1.0,-0.46526271062254665,0.385738107591335,0
212,248,0,0.0,-0.13237303872343936,0.46695497918207385,1
462,894,67,4.0,-0.1459044994440697,0.4635884467009864,0
300,396,0,0.0,-0.20184646661980876,0.44970901377866257,1
138,548,0,0.0,-0.20360073808885204,0.4492749211942244,1
453,787,0,0.0,-0.08011896325494477,0.4799809666359177,1
168,566,82,2.0,-0.1992998484478612,0.45033930783985754,0
244,687,74,2.0,-0.16718592182734682,0.45830060310609533,0
224,614,72,2.5,-0.18397153133377842,0.4541364007201687,0
333,778,0,0.0,-0.11968182263768767,0.4701152076572253,1
382,397,0,0.0,-0.132066868046667,0.46703118829147583,1
225,611,59,3.0,-0.13159992782265828,0.4671474175974583,0
115,503,0,0.0,-0.24788430238866432,0.43834431272214514,1
431,867,0,0.0,-0.07919334062232641,0.48021200560464805,1
130,506,74,3.0,-0.25385059133330934,0.4368759653741592,0
348,657,74,5.0,-0.15868926006128886,0.46041072914970194,0
243,725,132,9.0,-0.18959428610591544,0.4527429023480178,0
234,509,0,0.0,-0.16324297746647431,0.459279642751841,1
206,669,0,0.0,-0.18192990883585836,0.4546425590724136,1
234,448,0,0.0,-0.07781995997346972,0.48055482226210483,1
348,378,0,0.0,-0.2491355178806472,0.4380362890519997,1
286,619,0,0.0,-0.20175577373107417,0.4497314577242594,1
427,764,0,0.0,-0.10271704860517725,0.4743432920987823,1
425,588,37,1.0,-0.2848862327078905,0.42925626033566455,0
296,682,0,0.0,-0.3514520170223534,0.41303035507848895,1
363,433,26,3.0,-0.5453846172518255,0.3669358744916361,0
766,1259,73,1.0,-0.20369965666792522,0.44925044619311266,0
1167,1313,0,0.0,-0.21170068423610644,0.4472716101453375,1
491,896,0,0.0,-0.24154764432350362,0.4399049934375476,1
385,937,64,3.0,-0.19826404147138987,0.4505957182595673,0
419,804,112,4.0,-0.12712075140110413,0.46826253959141545,1
723,1067,0,0.0,-0.2543160447924544,0.4367614600419714,1
472,818,98,3.0,-0.08940258347689678,0.4776642293024712,0
613,988,96,1.0,-0.12707241537435424,0.46827457492930824,0
269,665,0,0.0,-0.12695665818062463,0.468303397823643,1
426,534,0,0.0,-0.10826124856633101,0.47296109182335666,1
359,798,0,0.0,-0.27103607819276476,0.4326527570513909,1
927,1334,0,0.0,-0.1260591291727104,0.4685268846939244,1
560,977,0,0.0,-0.15758815279239946,0.46068429208761225,1
387,710,0,0.0,-0.120549468431077,0.4698990767217492,1
1035,1335,0,0.0,-0.2662246136951536,0.4338341805993637,1
313,768,0,0.0,-0.17890191474343003,0.45539343066354415,1
164,570,80,4.0,-0.1583769425104009,0.4604883199976242,0
480,939,0,0.0,-0.1347055475185006,0.46637444403044814,1
167,583,0,0.0,-0.3176964978806609,0.4212372313175144,1
542,835,0,0.0,-0.24589224020360234,0.43883481567819194,1
754,1100,0,0.0,-0.10813103246511346,0.47299355076157557,1
578,855,0,0.0,-0.08484702399852442,0.47880096016291407,1
435,575,41,1.0,-0.37628666777129094,0.40702281892009967,0
361,630,0,0.0,-0.10294553932351079,0.47428632016125644,1
372,899,0,0.0,-0.16960324935905818,0.4577005353479475,1
386,693,0,0.0,-0.16522421578198632,0.4587876582109491,1
415,892,0,0.0,-0.2810825054496604,0.43018840543197306,1
608,961,0,0.0,-0.08439325664411124,0.4789141991661423,1
660,906,0,0.0,-0.12691705198502873,0.4683132595935827,1
396,910,57,4.0,-0.15803470711314382,0.4605733457072386,0
346,695,0,0.0,-0.1812832426667032,0.4548028999274329,1
242,261,0,0.0,-0.15002616691184611,0.4625636495943293,1
613,1128,70,4.0,-0.1591045231823074,0.46030756591312405,0
475,886,93,2.0,-0.18660803727583453,0.45348289944481657,0
394,735,0,0.0,-0.1414727322329327,0.46469068892347226,1
316,653,86,4.0,-0.22833851139529315,0.4431621112282793,0
