prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,failed
50,702,0,0.0,-0.19973993321926264,0.8189437054389428,1
36,3409,0,0.0,-0.13231884576650488,0.8760616220039056,1
45,160,26,1.0,-0.26887158883991,0.7642413864705432,0
182,2968,0,0.0,-0.21480868357605046,0.8066957595628745,1
151,849,0,0.0,-0.35197167417508163,0.7033000432480865,1
40,492,0,0.0,-0.10262271049851907,0.9024674007333896,1
29,1123,0,0.0,-0.21155714150420102,0.8093230337958839,1
124,533,27,1.0,-0.17041691237869167,0.8433131556018826,0
397,2160,0,0.0,-0.22788058238994996,0.7962193367686832,1
134,978,0,0.0,-0.35407381798064597,0.7018231582748823,1
184,2011,0,0.0,-0.1961049969816566,0.8219259304055839,1
26,534,63,2.0,-0.17306870449731568,0.8410798268927908,0
66,932,0,0.0,-0.22644281062586516,0.7973649418110506,1
75,113,30,2.0,-0.1348817714045286,0.8738192159997559,0
166,3851,0,0.0,-0.17844192627158023,0.8365726383589285,1
377,2011,0,0.0,-0.1806178104267584,0.8347543321397067,1
258,2920,0,0.0,-0.12776858756123882,0.8800570117215109,1
327,4089,0,0.0,-0.1505249983450341,0.8602562247566923,1
561,3853,0,0.0,-0.16992211600475407,0.8437305271418153,1
205,1756,0,0.0,-0.2147850989318112,0.8067147854197313,1
95,1605,0,0.0,-0.3728393573535793,0.6887758707358017,1
49,124,5,1.0,-0.12996044533945314,0.8781301643741896,0
17,403,0,0.0,-0.3978779298067461,0.6717440225799938,1
30,38,5,1.0,-0.2094978905053508,0.8109913502132016,0
54,1342,0,0.0,-0.2090912706318107,0.8113211824670975,1
54,1387,0,0.0,-0.18017266375147847,0.8351260029732147,1
40,310,32,2.0,-0.18510821899903362,0.8310143474449364,0
93,1851,0,0.0,-0.165718212860806,0.8472849545570821,1
40,571,0,0.0,-0.34441126095103375,0.708637433208677,1
123,1073,0,0.0,-0.2764955059409187,0.758437027584823,1
57,435,0,0.0,-0.32527586106767115,0.7223280639642703,1
178,1098,0,0.0,-0.34871405605084993,0.7055948620079375,1
32,528,77,3.0,-0.07946657282003505,0.9236088930932894,0
