prompt_len,code_len,ast_nodes,avg_complexity,mean_logprob,confidence,prior_history,failed
118,832,68,1.0,-0.21954565492752334,0.8028835012682037,0.5,0
305,1137,131,2.0,-0.33322299130169086,0.7166103784565085,0.0,0
307,1212,104,1.0,-0.3160744533251794,0.729005171287952,0.0,0
338,288,78,4.0,-0.12705562798790349,0.8806846805177495,0.0,0
350,180,55,1.0,-0.46426591800689954,0.6285963771445988,0.0,0
44,1148,125,10.0,-0.16660832418446914,0.8465311121762534,0.0,0
299,134,5,1.0,-0.2827371252114281,0.7537178952522142,0.0,0
168,1804,196,4.0,-0.420563419993916,0.6566767307674087,0.0,0
197,224,49,4.0,-0.2725938234278306,0.761401988479336,0.0,0
86,925,139,1.0,-0.2594424956365548,0.7714815702750657,0.0,0
